項目別_金額_新臺幣元,按月計薪者每人每月平均最低薪資_金額_新臺幣元,按日計薪者每人每日平均最低薪資_金額_新臺幣元,按時計薪者每人每時平均最低薪資_金額_新臺幣元
總計,32894,1759,161
主管及監督人員,55143,-,-
高階主管及總執行長,86400,-,-
行政及商業經理人員,79312,-,-
生產及專業服務經理人員,70373,-,-
餐旅、零售及其他場所服務經理人員,40000,-,-
採礦、製造及營造監督人員,42234,-,-
辦公室監督人員,41904,-,-
專業人員,44094,1223,231
物理、化學及地球科學專業人員,45714,-,-
數學、精算及統計學專業人員,46033,-,-
生物、植物及動物學有關專業人員,42212,-,-
工業及生產工程師,41619,900,-
土木工程師,55045,-,-
環境工程師,41405,-,-
機械工程師,38703,-,-
化學工程師,41248,-,-
採礦工程師、冶金學及有關專業人員,36071,-,-
其他工程專業人員,43756,-,-
電機工程師,45672,-,-
電子工程師,48884,1600,-
電信工程師,37525,-,-
建築師,38993,-,-
都市及交通規劃師,58450,-,-
測量師及製圖師,37872,-,-
設計師,36099,-,-
醫師等醫療專業人員,99190,-,-
護理及助產專業人員,37591,-,191
藥師,54123,-,350
環境及職業衛生專業人員,43106,-,-
營養師,31311,-,-
未分類其他醫療保健專業人員,42154,-,-
其他教學專業人員,26353,-,309
財務專業人員,53044,-,-
行政專業人員,40066,-,-
行銷、公關及技術銷售專業人員,39122,-,158
軟體與應用程式開發人員及分析師,44999,-,-
資料庫及網路專業人員,42522,-,-
法律專業人員,54360,-,-
經濟學專業人員,48018,-,-
心理學專業人員,38807,-,-
作家、新聞記者及語言學專業人員,32881,-,160
其他創作及表演藝術人員,34032,-,-
技術員及助理專業人員,31678,1458,161
物理及化學技術員,33000,-,-
營建工程技術員,35212,1754,-
電機工程技術員,35239,1500,180
電子工程技術員,30271,-,158
機械工程技術員,31934,1000,-
化學工程技術員,33071,1200,-
工業及生產技術員,30335,992,166
製圖員,31264,-,-
其他工程科學技術員,29900,-,-
製程控制技術員,30817,-,-
生命科學技術員及有關助理專業人員,33020,-,-
船舶、航空器監管及有關技術員,63750,-,-
醫學影像及治療設備技術員,37972,-,-
醫學及病理檢驗技術員,37578,-,177
藥學、醫學及牙科輔具技術員,34352,-,-
護理助理專業人員,32111,-,-
牙醫助理人員及鑲牙生,28251,-,-
環境及職業衛生技術員,34216,-,-
未分類其他醫療保健助理專業人員,29809,-,-
證券金融交易員及經紀人,33827,-,-
信用及貸款人員,34712,-,-
會計、統計、數學及精算助理專業人員,34289,-,-
財物及損失鑑價人員,32607,-,-
保險代理人,30051,-,-
商業銷售代表,30885,-,158
採購員,32045,-,158
買賣經紀人,26098,-,-
不動產經紀人,29787,-,-
其他企業支援服務代理人,29275,-,-
專業秘書,28121,-,-
法律及有關助理專業人員,39874,-,-
社會工作助理專業人員,26647,-,-
運動及健身工作人員,24592,-,158
攝影師,33500,-,-
其他藝術、文化及烹飪有關助理專業人員,28546,-,-
資訊及通訊技術員,31575,-,-
廣播及視聽技術員,28502,-,-
電信工程技術員,29863,-,-
事務支援人員,28533,1019,159
一般及文書事務員,27281,1300,159
銀行櫃員、收帳員及有關事務人員,35839,-,-
顧客資訊事務人員,27868,-,160
會計、統計及有關事務人員,29338,-,-
生產、運輸及有關事務人員,28814,988,158
人事事務人員,29745,-,158
未分類其他事務支援人員,26867,-,159
服務及銷售工作人員,28111,1196,160
旅運服務及有關工作人員,26274,-,202
廚師,29085,-,169
餐飲服務人員,27924,1200,160
美髮、美容及造型設計有關工作人員,25404,-,-
建築物管理員,36465,-,-
其他個人服務工作人員,33531,-,-
銷售及展示工作人員,27599,1088,159
個人照顧工作人員,27106,-,196
保安服務工作人員,31131,-,173
技藝有關工作人員、機械設備操作及組裝人員,28885,1870,161
營建構造及有關工作人員,44759,2257,-
建築物修整及有關工作人員,31695,1500,-
油漆、建築物清潔及有關工作人員,30641,-,-
金屬鑄模、焊接、板金及有關工作人員,30320,1701,-
鍛造、工具製造及有關工作人員,27548,1183,-
機械維修人員,27406,1400,-
手工藝工作人員,30041,-,160
印刷及有關工作人員,28406,-,-
電力設備裝修人員,28513,1635,158
電子設備裝修人員,25916,1250,158
食品製造及有關工作人員,28472,-,158
木材處理、家具木工及有關工作人員,35272,-,-
成衣及有關工作人員,27363,1000,-
未分類其他技藝有關工作人員,26797,-,-
採礦及礦物處理設備操作人員,29807,1600,-
金屬製造及表面處理設備操作人員,27099,869,158
化學及照相產品機械操作人員,26796,-,-
橡膠、塑膠及紙製品機械操作人員,27177,1200,169
紡織品、毛皮及皮革製品機械操作人員,26554,-,158
食品及有關產品機械操作人員,25274,-,160
木材加工及造紙設備操作人員,26247,-,-
其他生產機械設備操作人員,26585,1264,159
組裝人員,25867,1400,171
駕駛及有關工作人員,35761,1107,-
移運設備操作人員,35421,2000,-
船舶艙面水手及有關工作人員,50000,-,-
基層技術工及勞力工,25601,1547,160
清潔工及幫工,24652,1264,159
採礦、營建、製造及運輸勞力工,25859,1600,160
廢棄物服務工及環境清掃工,25805,1448,-
其他基層技術工及勞力工,27380,-,158
按員工規模分,,,
３００人　　以　上,35633,1293,161
１００人至２９９人,32736,1245,161
　３０人至　９９人,32088,1554,160
　２９人及　以　下,30830,1794,161
